 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Actual T&C Date,Delivery Status,
"11","01 01","QMS 01/01/06/023214","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR589","Klinik 1 Malaysia Taman Sri Lambak","Taman Sri Lambak  86000 Kluang Johor","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP012","PBE","JOHOR","KLUANG","2018-02-20 10:00AM","2018-02-20 10:00AM","18696","22-03-2018","Products Installed",
"12","01 01","QMS 01/01/06/023215","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","MLK020","Klinik Kesihatan Jalan Gereja","Jalan Gereja 75000 Melaka","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","MLPASP004","PBE","MELAKA","MELAKA TENGAH","2018-02-19 10:00AM","2018-02-19 10:00AM","16862","26-02-2018","Products Installed",
"13","01 01","QMS 01/01/06/023216","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","MLK020","Klinik Kesihatan Jalan Gereja","Jalan Gereja 75000 Melaka","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","MLPASP005","PBE","MELAKA","MELAKA TENGAH","2018-02-19 9:30AM","2018-02-19 9:30AM","16882","26-02-2018","Products Installed",
"14","01 01","QMS 01/01/06/023217","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","MLK027","Klinik Kesihatan Ibu dan Anak Alor Gajah","Jalan Hospital 78000 Alor Gajah","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","MLPASP006","PBE","MELAKA","ALOR GAJAH","2018-02-21 9:30AM","2018-02-21 9:30AM","16864","27-02-2018","Products Installed",
"15","01 01","QMS 01/01/06/023218","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","MLK051","Klinik Kesihatan  Tebong","Km 19 Tebong 78000 Alor Gajah","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","MLPASP007","PBE","MELAKA","ALOR GAJAH","2018-02-20 9:30AM","2018-02-20 9:30AM","16901","27-02-2018","Products Installed",
"16","01 01","QMS 01/01/06/023219","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","MLK189","Klinik 1 Malaysia Londang","Lot 6488 Mukim Sg Baru Tengah Taman BidaraPermai Londang Masjid Tanah ","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","MLPASP008","PBE","MELAKA","ALOR GAJAH","2018-02-21 2:30PM","2018-02-21 2:30PM","18663","27-02-2018","Products Installed",
"17","01 01","QMS 01/01/06/023220","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","NSB039","Klinik Kesihatan Gemas","Jalan Tok Sulong   73400 Gemas","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","NSPASP013","PBE","NEGERI SEMBILAN","TAMPIN","2018-02-22 9:30AM","2018-02-22 9:30AM","16860","26-02-2018","Products Installed",
"18","01 01","QMS 01/01/06/023221","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","NSB042","Klinik Kesihatan Ibu dan Anak Tampin","Km 2 Jalan Gemas  73000 Tampin","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","NSPASP014","PBE","NEGERI SEMBILAN","TAMPIN","2018-02-22 4:00PM","2018-02-22 4:00PM","16856","27-02-2018","Products Installed",
"19","01 01","QMS 01/01/06/023222","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","NSB097","Klinik Desa Senaling","Kg Senaling 72000 Kuala Pilah ","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","NSPASP015","PBE","NEGERI SEMBILAN","KUALA PILAH","2018-02-23 9:30AM","2018-02-23 9:30AM","16900","08-03-2018","Products Installed",
"20","01 01","QMS 01/01/06/023223","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","NSB285","Klinik 1 Malaysia Jalan Pantai","No 20 Taman Kayu Manis  Batu 3  Jalan Pantai","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","NSPASP016","PBE","NEGERI SEMBILAN","SEREMBAN","2018-02-26 9:30AM","2018-02-26 9:30AM","18666","23-02-2018","Products Installed",
"21","01 01","QMS 01/01/06/023224","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG029","Klinik Kesihatan Ibu dan Anak Sungai Bakap","Seberang Perai Selatan  Sungai Bakap 14200 Seberang PeraiTengah","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP005","PBE","PULAU PINANG","SEBERANG PERAI SELATAN","2018-02-13 11:00AM","2018-02-13 11:00AM","16879","21-02-2018","Products Installed",
"22","01 01","QMS 01/01/06/023225","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG070","Klinik Kesihatan Permatang Pauh","Jln Sama Gagah 13500 Seberang Jaya","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP006","PBE","PULAU PINANG","SEBERANG PERAI TENGAH","2018-02-14 10:30AM","2018-02-14 10:30AM","18677","28-02-2018","Products Installed",
"23","01 01","QMS 01/01/06/023226","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG086","Klinik Kesihatan  Kuala Muda","Jalan Kuala Muda 13110 Kepala Batas","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP007","PBE","PULAU PINANG","SEBERANG PERAI UTARA","2018-02-15 2:30PM","2018-02-15 2:30PM","16904","26-02-2018","Products Installed",
"24","01 01","QMS 01/01/06/023227","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG233","Klinik 1 Malaysia Jelutong","116  Tingkat Bawah  Jalan Jelutong Pulau Pinang","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP008","PBE","PULAU PINANG","TIMUR LAUT","2018-02-20 2:30PM","2018-02-20 2:30PM","16887","23-02-2018","Products Installed",
"25","01 01","QMS 01/01/06/023228","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG234","Klinik 1 Malaysia Air Tawar","No 6  Kedai 1 Tingkat  Lorong Teluk Air Tawar 14  Butterworth Pulau Pinang","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP009","PBE","PULAU PINANG","SEBERANG PERAI UTARA","2018-02-15 11:00AM","2018-02-15 11:00AM","16886","26-02-2018","Products Installed",
"26","01 01","QMS 01/01/06/023229","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG235","Klinik 1 Malaysia Batu Kawan","No 19  Lorong Cempaka 1  Taman Cempaka  Batu Kawan  Seberang Perai Selatan Pulau","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP010","PBE","PULAU PINANG","SEBERANG PERAI SELATAN","2018-02-19 11:00AM","2018-02-19 11:00AM","16889","21-02-2018","Products Installed",
"27","01 01","QMS 01/01/06/023230","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG236","Klinik 1 Malaysia Sungai Ara","2A 1  Tingkat Kenari 5  Taman Desa Ria  Sungai Ara  BayanLepas Pulau Pinang","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP011","PBE","PULAU PINANG","BARAT DAYA","2018-02-20 11:00AM","2018-02-20 11:00AM","16990","23-02-2018","Products Installed",
"28","01 01","QMS 01/01/06/023231","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG237","Klinik 1 Malaysia Alma Jaya","No 38  Ting Bawah  Lorong Alma Jaya 11  Taman Alma Jaya  Bukit Mertajam","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP012","PBE","PULAU PINANG","SEBERANG PERAI TENGAH","2018-02-19 2:30PM","2018-02-19 2:30PM","16892","21-02-2018","Products Installed",
"29","01 01","QMS 01/01/06/023232","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PNG249","Klinik 1 Malaysia Bagan Ajam","C G 14   15 Taman Pantai Bersih Bagan Ajam 13000Butterworth Pulau Pinang","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PNPASP013","PBE","PULAU PINANG","SEBERANG PERAI UTARA","2018-02-14 2:30PM","2018-02-14 2:30PM","16873","21-02-2018","Products Installed",
"30","01 01","QMS 01/01/06/023233","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK041","Klinik Kesihatan Kota Bharu","Jln  Kota Bharu  31610  Kinta","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP084","PBE","PERAK","KAMPAR","2018-02-15 4:00PM","2018-02-15 4:00PM","16897","23-02-2018","Products Installed",
"31","01 01","QMS 01/01/06/023234","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK070","Klinik Kesihatan Lambor Kiri","Lambor Kiri  32900  Perak Tengah","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP085","PBE","PERAK","PERAK TENGAH","2018-02-21 9:00AM","2018-02-21 9:00AM","18674","27-02-2018","Products Installed",
"32","01 01","QMS 01/01/06/023235","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK074","Klinik Kesihatan Ibu dan Anak Teluk Intan (Jalan Maharajalela)","Jalan Maharajalela  36000  Hilir Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP086","PBE","PERAK","HILIR PERAK","2018-02-21 4:00PM","2018-02-21 4:00PM","18667","01-03-2018","Products Installed",
"33","01 01","QMS 01/01/06/023236","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK076","Klinik Kesihatan Ibu dan Anak Gerik","Jalan Intan  33300  Hulu Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP087","PBE","PERAK","HULU PERAK","2018-02-14 10:00AM","2018-02-14 10:00AM","16883","27-02-2018","Products Installed",
"34","01 01","QMS 01/01/06/023237","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK077","Klinik Kesihatan Ibu dan Anak Parit Buntar","Jalan Sekolah  34200  Kerian","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP088","PBE","PERAK","KERIAN","2018-02-13 9:30AM","2018-02-13 9:30AM","16893","26-02-2018","Products Installed",
"35","01 01","QMS 01/01/06/023238","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK078","Klinik Kesihatan Ibu dan Anak Batu Gajah","Jln  Hospital  31000  Kinta","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP089","PBE","PERAK","KINTA","2018-02-21 12:00PM","2018-02-21 12:00PM","16881","26-02-2018","Products Installed",
"36","01 01","QMS 01/01/06/023239","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK079","Klinik Kesihatan Ibu dan Anak Pusing","Jln  Pusing  31000  Kinta","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP090","PBE","PERAK","KINTA","2018-02-21 10:30AM","2018-02-21 10:30AM","18657","26-02-2018","Products Installed",
"37","01 01","QMS 01/01/06/023240","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK080","Klinik Kesihatan Ibu dan Anak Pga Ulu Kinta","Kem Pga  Tanjung Rambutan  31250  Kinta","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP091","PBE","PERAK","KINTA","2018-02-15 11:00AM","2018-02-15 11:00AM","16898","23-02-2018","Products Installed",
"38","01 01","QMS 01/01/06/023241","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK081","Klinik Kesihatan Ibu dan Anak Greentown","Jln  Dato` Onn Jaafar  30990  Ipoh","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP092","PBE","PERAK","KINTA","2018-02-15 9:30AM","2018-02-15 9:30AM","16865","26-02-2018","Products Installed",
"39","01 01","QMS 01/01/06/023242","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK082","Klinik Kesihatan Ibu dan Anak Kuala Kangsar","Jalan Sultan Idris Shah  33000  Kuala Kangsar","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP093","PBE","PERAK","KUALA KANGSAR","2018-02-14 4:00PM","2018-02-14 4:00PM","16872","26-02-2018","Products Installed",
"40","01 01","QMS 01/01/06/023243","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK083","Klinik Kesihatan Ibu dan Anak Taiping","Jln  Panggung Wayang","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP094","PBE","PERAK","LARUT MATANG SELAMA","2018-02-13 2:00PM","2018-02-13 2:00PM","16885","26-02-2018","Products Installed",
"41","01 01","QMS 01/01/06/023244","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK096","Klinik Desa Jeram Mengkuang","Jalan Besar 35500  Bidor Batang Padang","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP095","PBE","PERAK","BATANG PADANG","2018-02-22 10:00AM","2018-02-22 10:00AM","16880","26-02-2018","Products Installed",
"42","01 01","QMS 01/01/06/023245","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK102","Klinik Desa Air Kuning","Air Kuning  35000  Chenderiang Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP096","PBE","PERAK","BATANG PADANG","2018-02-22 4:00PM","2018-02-22 4:00PM","18668","26-02-2018","Products Installed",
"43","01 01","QMS 01/01/06/023246","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK110","Klinik Kesihatan Tapah Road","Tapah Road 35400  Tapah   Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP097","PBE","PERAK","BATANG PADANG","2018-02-22 2:00PM","2018-02-22 2:00PM","18697","26-02-2018","Products Installed",
"44","01 01","QMS 01/01/06/023247","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK168","Klinik Kesihatan Rps Kemar","Rancangan Penempatan Semula Oa Rps Kemar  MulimBelum  33300 Gerik   Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP098","PBE","PERAK","HULU PERAK","2018-02-14 2:00PM","2018-02-14 2:00PM","16896","08-03-2018","Products Installed",
"45","01 01","QMS 01/01/06/023248","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK311","Klinik Kesihatan Air Kuning","Air Kuning 31800  Tanjung Tualang   Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP099","PBE","PERAK","PERAK TENGAH","2018-02-21 2:00PM","2018-02-21 2:00PM","18656","05-03-2018","Products Installed",
"46","01 01","QMS 01/01/06/023249","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","PRK555","Klinik 1 Malaysia Kampung Tawas","No 2 Dan 2A  Laluan Tawas Damai 4  Anjung Tawas Damai 31450 Ipoh   Perak","KK","Batch 6","NORTHERN","PO106715","2016-09-01","PRPASP100","PBE","PERAK","KINTA","2018-02-15 2:00PM","2018-02-15 2:00PM","16895","23-02-2018","Products Installed",
