BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
PNG020166,SYRINGE/NEEDLE DESTROYERS,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG020268,X-RAY FILM PROCESSORS| MANUAL| DENTAL,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG020191,SYRINGE/NEEDLE DESTROYERS,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG020008,ANALYZERS| LABORATORY| BODY FLUIDS| GLUCOSE,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002713,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG003373,X-Ray Film Processors| Manual| Dental,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG003372,X-Ray Film Processors| Manual| Dental,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002814,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002813,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002816,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002815,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002820,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002846,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002905,X-Ray Film Processors| Manual| Dental,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,DEA,DEA,Requested by BPKP on 17/02/2017
PNG009488,X-Ray Film Processors| Manual| Dental,PNG182,PERGIGIAN,TIMUR LAUT,PULAU PINANG,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002864,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG002875,Syringe/Needle Destroyers,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG020153,SYRINGE/NEEDLE DESTROYERS,PNG162,PERGIGIAN,SEBERANG PERAI SELATAN,PULAU PINANG,ACT,DEA,Requested by BPKP on 17/02/2017
PNG020154,SYRINGE/NEEDLE DESTROYERS,PNG164,PERGIGIAN,SEBERANG PERAI SELATAN,PULAU PINANG,ACT,DEA,Requested by BPKP on 17/02/2017
PNG020158,SYRINGE/NEEDLE DESTROYERS,PNG103,PERGIGIAN,SEBERANG PERAI UTARA,PULAU PINANG,ACT,DEA,Requested by BPKP on 17/02/2017
PNG009302,THERMOMETERS| ELECTRONIC| INFRARED| SKIN,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG008019,Thermometers| Electronic| Infrared| Skin,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
PNG000515,THERMOMETERS| ELECTRONIC| INFRARED| SKIN,PNG500,PERGIGIAN,PULAU PINANG KOLEJ,PULAU PINANG KOLEJ,ACT,DEA,Requested by BPKP on 17/02/2017
SBH006344,Syringe/Needle Destroyers,SBH293,PERGIGIAN,KOTA KINABALU,SABAH,DEA,DEA,Requested by BPKP on 17/02/2017
SBH003493,Syringe/Needle Destroyers,SBH505,PERGIGIAN,PENAMPANG,SABAH,DEA,DEA,Requested by BPKP on 17/02/2017
SWK008502,Syringe/Needle Destroyers,SWK413,PERGIGIAN,KAPIT,SARAWAK,DEA,DEA,Requested by BPKP on 17/02/2017
SWK000276,Syringe/Needle Destroyers,SWK443,PERGIGIAN,SAMARAHAN,SARAWAK,ACT,DEA,Requested by BPKP on 17/02/2017
SLR003277,Syringe/Needle Destroyers,SLR277,PERGIGIAN,GOMBAK,SELANGOR,ACT,DEA,Requested by BPKP on 17/02/2017
SLR012406,X-Ray Film Processors| Manual| Dental,SLR377,PERGIGIAN,KLANG,SELANGOR,ACT,DEA,Requested by BPKP on 17/02/2017
WKL000307,Analyzers| Laboratory| Body Fluids| Glucose,WKL104,PERGIGIAN,LEMBAH PANTAI,WILAYAH PERSEKUTUAN,ACT,DEA,Requested by BPKP on 17/02/2017

