BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
JHPSPL005,SPIROMETERS| LOW,JHR003,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL086,SPIROMETERS| LOW,JHR024,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL093,SPIROMETERS| LOW,JHR025,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL094,SPIROMETERS| LOW,JHR025,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL095,SPIROMETERS| LOW,JHR025,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL102,SPIROMETERS| LOW,JHR026,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL103,SPIROMETERS| LOW,JHR026,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL104,SPIROMETERS| LOW,JHR026,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL111,SPIROMETERS| LOW,JHR027,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL112,SPIROMETERS| LOW,JHR027,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL113,SPIROMETERS| LOW,JHR027,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL119,SPIROMETERS| LOW,JHR028,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL120,SPIROMETERS| LOW,JHR028,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL121,SPIROMETERS| LOW,JHR028,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL127,SPIROMETERS| LOW,JHR029,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL128,SPIROMETERS| LOW,JHR029,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL129,SPIROMETERS| LOW,JHR029,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL135,SPIROMETERS| LOW,JHR032,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL136,SPIROMETERS| LOW,JHR032,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL137,SPIROMETERS| LOW,JHR032,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL145,SPIROMETERS| LOW,JHR035,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL146,SPIROMETERS| LOW,JHR035,KESIHATAN,KLUANG,JOHOR,DEA,ACT
JHPSPL152,SPIROMETERS| LOW,JHR071,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL153,SPIROMETERS| LOW,JHR071,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL154,SPIROMETERS| LOW,JHR071,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL160,SPIROMETERS| LOW,JHR073,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL161,SPIROMETERS| LOW,JHR073,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL162,SPIROMETERS| LOW,JHR073,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL170,SPIROMETERS| LOW,JHR075,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL171,SPIROMETERS| LOW,JHR075,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL172,SPIROMETERS| LOW,JHR075,KESIHATAN,PONTIAN,JOHOR,DEA,ACT
JHPSPL178,SPIROMETERS| LOW,JHR086,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL179,SPIROMETERS| LOW,JHR086,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL180,SPIROMETERS| LOW,JHR086,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL185,SPIROMETERS| LOW,JHR591,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL186,SPIROMETERS| LOW,JHR591,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL187,SPIROMETERS| LOW,JHR591,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL188,SPIROMETERS| LOW,JHR591,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL194,SPIROMETERS| LOW,JHR002,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL197,SPIROMETERS| LOW,JHR009,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL200,SPIROMETERS| LOW,JHR015,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL290,SPIROMETERS| LOW,JHR144,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL294,SPIROMETERS| LOW,JHR012,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL303,SPIROMETERS| LOW,JHR001,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL304,SPIROMETERS| LOW,JHR001,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL305,SPIROMETERS| LOW,JHR006,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL306,SPIROMETERS| LOW,JHR006,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL307,SPIROMETERS| LOW,JHR006,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL311,SPIROMETERS| LOW,JHR008,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL312,SPIROMETERS| LOW,JHR008,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL313,SPIROMETERS| LOW,JHR008,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL314,SPIROMETERS| LOW,JHR010,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL315,SPIROMETERS| LOW,JHR010,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL316,SPIROMETERS| LOW,JHR010,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL321,SPIROMETERS| LOW,JHR016,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL322,SPIROMETERS| LOW,JHR016,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL323,SPIROMETERS| LOW,JHR016,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL330,SPIROMETERS| LOW,JHR017,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL331,SPIROMETERS| LOW,JHR017,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL332,SPIROMETERS| LOW,JHR017,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL335,SPIROMETERS| LOW,JHR019,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL336,SPIROMETERS| LOW,JHR019,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL337,SPIROMETERS| LOW,JHR019,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL343,SPIROMETERS| LOW,JHR038,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL344,SPIROMETERS| LOW,JHR038,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL345,SPIROMETERS| LOW,JHR038,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL351,SPIROMETERS| LOW,JHR214,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL352,SPIROMETERS| LOW,JHR191,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL353,SPIROMETERS| LOW,JHR195,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL357,SPIROMETERS| LOW,JHR043,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL358,SPIROMETERS| LOW,JHR043,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL359,SPIROMETERS| LOW,JHR045,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL360,SPIROMETERS| LOW,JHR045,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL363,SPIROMETERS| LOW,JHR046,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL364,SPIROMETERS| LOW,JHR046,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL365,SPIROMETERS| LOW,JHR046,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL369,SPIROMETERS| LOW,JHR050,KESIHATAN,MERSING,JOHOR,DEA,ACT
JHPSPL370,SPIROMETERS| LOW,JHR054,KESIHATAN,LEDANG,JOHOR,DEA,ACT
JHPSPL371,SPIROMETERS| LOW,JHR054,KESIHATAN,LEDANG,JOHOR,DEA,ACT
JHPSPL372,SPIROMETERS| LOW,JHR054,KESIHATAN,LEDANG,JOHOR,DEA,ACT
JHPSPL373,SPIROMETERS| LOW,JHR723,Kesihatan,LEDANG,JOHOR,DEA,ACT
JHPSPL378,SPIROMETERS| LOW,JHR722,Kesihatan,LEDANG,JOHOR,DEA,ACT
JHPSPL379,SPIROMETERS| LOW,JHR057,KESIHATAN,LEDANG,JOHOR,DEA,ACT
JHPSPL380,SPIROMETERS| LOW,JHR057,KESIHATAN,LEDANG,JOHOR,DEA,ACT
JHPSPL384,SPIROMETERS| LOW,JHR060,KESIHATAN,MUAR,JOHOR,DEA,ACT
JHPSPL385,SPIROMETERS| LOW,JHR062,KESIHATAN,MUAR,JOHOR,DEA,ACT
JHPSPL386,SPIROMETERS| LOW,JHR065,KESIHATAN,MUAR,JOHOR,DEA,ACT
JHPSPL387,SPIROMETERS| LOW,JHR065,KESIHATAN,MUAR,JOHOR,DEA,ACT
JHPSPL388,SPIROMETERS| LOW,JHR069,KESIHATAN,MUAR,JOHOR,DEA,ACT
JHPSPL389,SPIROMETERS| LOW,JHR070,KESIHATAN,MUAR,JOHOR,DEA,ACT
JHPSPL392,SPIROMETERS| LOW,JHR079,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL393,SPIROMETERS| LOW,JHR079,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL396,SPIROMETERS| LOW,JHR083,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL397,SPIROMETERS| LOW,JHR083,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL401,SPIROMETERS| LOW,JHR087,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL402,SPIROMETERS| LOW,JHR087,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL403,SPIROMETERS| LOW,JHR087,KESIHATAN,SEGAMAT,JOHOR,DEA,ACT
JHPSPL404,SPIROMETERS| LOW,JHR089,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL407,SPIROMETERS| LOW,JHR144,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL408,SPIROMETERS| LOW,JHR144,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL409,SPIROMETERS| LOW,JHR144,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL410,SPIROMETERS| LOW,JHR205,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL411,SPIROMETERS| LOW,JHR205,KESIHATAN,KOTA TINGGI,JOHOR,DEA,ACT
JHPSPL412,SPIROMETERS| LOW,JHR219,KESIHATAN,MERSING,JOHOR,DEA,ACT
JHPSPL413,SPIROMETERS| LOW,JHR558,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL414,SPIROMETERS| LOW,JHR559,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL415,SPIROMETERS| LOW,JHR581,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL416,SPIROMETERS| LOW,JHR582,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL417,SPIROMETERS| LOW,JHR583,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL418,SPIROMETERS| LOW,JHR584,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL419,SPIROMETERS| LOW,JHR585,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL420,SPIROMETERS| LOW,JHR586,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL421,SPIROMETERS| LOW,JHR587,KESIHATAN,KULAI JAYA,JOHOR,DEA,ACT
JHPSPL422,SPIROMETERS| LOW,JHR588,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
MLPSPL004,SPIROMETERS| LOW,MLK016,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL005,SPIROMETERS| LOW,MLK016,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL006,SPIROMETERS| LOW,MLK016,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL007,SPIROMETERS| LOW,MLK016,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL008,SPIROMETERS| LOW,MLK016,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL013,SPIROMETERS| LOW,MLK017,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL014,SPIROMETERS| LOW,MLK017,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL015,SPIROMETERS| LOW,MLK017,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL016,SPIROMETERS| LOW,MLK017,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL017,SPIROMETERS| LOW,MLK017,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL021,SPIROMETERS| LOW,MLK018,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL022,SPIROMETERS| LOW,MLK018,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL023,SPIROMETERS| LOW,MLK018,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL024,SPIROMETERS| LOW,MLK018,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL027,SPIROMETERS| LOW,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL028,SPIROMETERS| LOW,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL029,SPIROMETERS| LOW,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL032,SPIROMETERS| LOW,MLK022,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL033,SPIROMETERS| LOW,MLK022,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL034,SPIROMETERS| LOW,MLK022,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL035,SPIROMETERS| LOW,MLK022,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL036,SPIROMETERS| LOW,MLK022,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL038,SPIROMETERS| LOW,MLK023,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL039,SPIROMETERS| LOW,MLK023,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL040,SPIROMETERS| LOW,MLK023,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL041,SPIROMETERS| LOW,MLK023,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL042,SPIROMETERS| LOW,MLK023,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL043,SPIROMETERS| LOW,MLK023,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL046,SPIROMETERS| LOW,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL047,SPIROMETERS| LOW,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL048,SPIROMETERS| LOW,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL049,SPIROMETERS| LOW,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL050,SPIROMETERS| LOW,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL051,SPIROMETERS| LOW,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL054,SPIROMETERS| LOW,MLK003,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL057,SPIROMETERS| LOW,MLK005,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL062,SPIROMETERS| LOW,MLK002,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL063,SPIROMETERS| LOW,MLK002,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL064,SPIROMETERS| LOW,MLK002,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL065,SPIROMETERS| LOW,MLK002,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL066,SPIROMETERS| LOW,MLK002,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL067,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL068,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL069,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL070,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL071,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL072,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL073,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL074,SPIROMETERS| LOW,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL075,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL076,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL077,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL078,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL079,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL080,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL081,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL082,SPIROMETERS| LOW,MLK007,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL083,SPIROMETERS| LOW,MLK009,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL084,SPIROMETERS| LOW,MLK009,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL085,SPIROMETERS| LOW,MLK009,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL086,SPIROMETERS| LOW,MLK009,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL087,SPIROMETERS| LOW,MLK009,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL090,SPIROMETERS| LOW,MLK010,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL091,SPIROMETERS| LOW,MLK010,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL096,SPIROMETERS| LOW,MLK012,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL097,SPIROMETERS| LOW,MLK012,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL098,SPIROMETERS| LOW,MLK012,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL099,SPIROMETERS| LOW,MLK012,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL100,SPIROMETERS| LOW,MLK012,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL101,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL102,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL103,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL104,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL105,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL106,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL107,SPIROMETERS| LOW,MLK014,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL108,SPIROMETERS| LOW,MLK020,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL109,SPIROMETERS| LOW,MLK020,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL110,SPIROMETERS| LOW,MLK020,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL111,SPIROMETERS| LOW,MLK021,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL112,SPIROMETERS| LOW,MLK021,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL113,SPIROMETERS| LOW,MLK021,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL114,SPIROMETERS| LOW,MLK021,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL115,SPIROMETERS| LOW,MLK021,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL116,SPIROMETERS| LOW,MLK021,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL117,SPIROMETERS| LOW,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL118,SPIROMETERS| LOW,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL119,SPIROMETERS| LOW,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL120,SPIROMETERS| LOW,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL121,SPIROMETERS| LOW,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL122,SPIROMETERS| LOW,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL123,SPIROMETERS| LOW,MLK027,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL124,SPIROMETERS| LOW,MLK051,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL125,SPIROMETERS| LOW,MLK051,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL126,SPIROMETERS| LOW,MLK064,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL127,SPIROMETERS| LOW,MLK064,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL128,SPIROMETERS| LOW,MLK069,KESIHATAN,JASIN,MELAKA,DEA,ACT
