 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Delivery Status,
"12","02 13","QMS 02/13/04/017272","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR021","Klinik Kesihatan Taman Tun Aminah (Tmn. Sri Orkid (Sementara))","No  9 11 15   17 Jalan Sri Orkid 26 Johor  Bahru  81200","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE017","PBE","JOHOR","JOHOR BAHRU","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708045","Products Installed",
"13","02 13","QMS 02/13/04/017273","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR592","Klinik Kesihatan Taman Universiti","Jalan Kebudayaan 28  Taman Universiti  81300 Johor Bharu","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE070","PBE","JOHOR","JOHOR BAHRU","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708044","Products Installed",
"14","02 13","QMS 02/13/04/017274","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR022","Klinik Kesihatan Tampoi","Batu 5  Jalan Skudai  81200 Johor Bahru  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE018","PBE","JOHOR","JOHOR BAHRU","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708043","Products Installed",
"15","02 13","QMS 02/13/04/017318","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR071","Klinik Kesihatan Ayer  Baloi","Jln  Ayer Baloi Pontian","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE053","PBE","JOHOR","PONTIAN","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708140","Products Installed",
"16","02 13","QMS 02/13/04/017319","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR078","Klinik Kesihatan Benut","Jln  Jaafar Benut Pontian 81500","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE058","PBE","JOHOR","PONTIAN","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708139","Products Installed",
"17","02 13","QMS 02/13/04/017320","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR076","Klinik Kesihatan Kayu Ara Pasong","Jln  Kayu Ara Pasong  82010 Pontian","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE056","PBE","JOHOR","PONTIAN","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708141","Products Installed",
"18","02 13","QMS 02/13/04/017321","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR073","Klinik Kesihatan Pekan Nanas","Jln  Pekan Nanas  81500 Pontian","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE054","PBE","JOHOR","PONTIAN","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708142","Products Installed",
"19","01 05","QMS 01/05/04/014634","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK136","Klinik Kesihatan Jemukan","Klinik Kesihatan Jemukan Kg Jemukan  94600  Asajaya","KK","Batch 4","East Malaysia","PO108520","2017-02-01","SWPANB116","PBE","SARAWAK","SAMARAHAN","2017-08-28 10:00AM","2017-08-28 10:00AM","3008-14-3347","Products Installed",
"20","01 05","QMS 01/05/04/014635","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK148","Klinik Kesihatan Kesindu","Klinik Kesihatan Kesindu  94800  Kota Samarahan","KK","Batch 4","East Malaysia","PO108520","2017-02-01","SWPANB118","PBE","SARAWAK","SAMARAHAN","2017-08-28 10:00AM","2017-08-28 10:00AM","3008-14-3348","Products Installed",
"21","01 05","QMS 01/05/04/014636","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK149","Klinik Kesihatan Mentu","Klinik Kesihatan Mentu  94300  Kota Samarahan","KK","Batch 4","East Malaysia","PO108520","2017-02-01","SWPANB119","PBE","SARAWAK","SAMARAHAN","2017-08-28 10:00AM","2017-08-28 10:00AM","3008-14-3349","Products Installed",
"22","02 13","QMS 02/13/04/017249","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR003","Klinik Kesihatan Batu Pahat","JKR 909  Jalan Mohd Khalid  83000 Batu Pahat Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE002","PBE","JOHOR","BATU PAHAT","2017-08-28 10:00AM","2017-08-28 10:00AM","2017060708134","Products Installed",
"23","02 13","QMS 02/13/04/017253","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR015","Klinik Kesihatan Pesta / Kampung Kenangan","Kg  Kenangan Dato Onn   Jalan Perak  83000  Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE014","PBE","JOHOR","BATU PAHAT","2017-08-28 10:00AM","2017-08-28 10:00AM","2017060708105","Products Installed",
"24","02 13","QMS 02/13/04/017256","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR010","Klinik Kesihatan Senggarang","JKR 976  Jalan Ismail  83200  Senggarang  Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE009","PBE","JOHOR","BATU PAHAT","2017-08-28 10:00AM","2017-08-28 10:00AM","2017060708136","Products Installed",
"25","02 13","QMS 02/13/04/017259","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR005","Klinik Kesihatan Sri Merlong","Kampong Sri Merlong   83100 Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE004","PBE","JOHOR","BATU PAHAT","2017-08-28 9:00AM","2017-08-28 9:00AM","2017060708137","Products Installed",
"26","02 13","QMS 02/13/04/017260","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR013","Klinik Kesihatan Tongkang Pecah","JTP 121 Jalan Besar Tongkang Pecah  83010 Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE012","PBE","JOHOR","BATU PAHAT","2017-08-28 10:00AM","2017-08-28 10:00AM","2017060708133","Products Installed",
"27","02 13","QMS 02/13/04/017267","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR025","Klinik Kesihatan Kempas","Jalan Persisiran Tanjung  Tampoi Johor  Bahru  81200","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE021","PBE","JOHOR","JOHOR BAHRU","2017-08-28 9:00AM","2017-08-28 9:00AM","2017060708038","Products Installed",
"28","02 13","QMS 02/13/04/017268","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR018","Klinik Kesihatan Larkin","Jalan Sentosa  Johor   Bahru  80350","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE015","PBE","JOHOR","JOHOR BAHRU","2017-08-28 9:00AM","2017-08-28 9:00AM","2017060708039","Products Installed",
"29","02 13","QMS 02/13/04/017275","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR020","Klinik Kesihatan Tebrau","Jalan Kerambit Johor  Bahru  80050","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE016","PBE","JOHOR","JOHOR BAHRU","2017-08-28 9:00AM","2017-08-28 9:00AM","2017060708040","Products Installed",
"30","02 13","QMS 02/13/04/017276","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR027","Klinik Kesihatan Ulu Tiram","Ulu Tiram Johor   Bahru Johor  Bahru  81800","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE023","PBE","JOHOR","JOHOR BAHRU","2017-08-28 9:00AM","2017-08-28 9:00AM","2017060708037","Products Installed",
"31","02 13","QMS 02/13/04/017289","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR041","Klinik Kesihatan Bukit Besar","Jalan Depan Sekolah Kota Tinggi 81900","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE036","PBE","JOHOR","KOTA TINGGI","2017-08-28 9:00AM","2017-08-28 9:00AM","2017030708036","Products Installed",
"32","02 13","QMS 02/13/04/017247","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR001","Klinik Kesihatan Ayer Hitam","Klinik Kesihatan Ayer Hitam  Km 2 Jalan Besar Yong Peng  861000 Batu Pahat Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE071","PBE","JOHOR","BATU PAHAT","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708106","Products Installed",
"33","02 13","QMS 02/13/04/017250","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR004","Klinik Kesihatan Parit Raja","Jalan Besar Air Hitam 86400 Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE003","PBE","JOHOR","BATU PAHAT","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708131","Products Installed",
"34","02 13","QMS 02/13/04/017252","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR007","Klinik Kesihatan Parit Yaani","Pekan Parit Yaani   83710 Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE006","PBE","JOHOR","BATU PAHAT","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708104","Products Installed",
"35","02 13","QMS 02/13/04/017257","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR011","Klinik Kesihatan Sri Gading","Sri Gading  83000  Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE010","PBE","JOHOR","BATU PAHAT","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708132","Products Installed",
"36","02 13","QMS 02/13/04/017261","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR014","Klinik Kesihatan Yong Peng","JKR 1446   Jalan Besar Yong Peng  83700 Yong Peng  Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE013","PBE","JOHOR","BATU PAHAT","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708105","Products Installed",
"37","02 13","QMS 02/13/04/017262","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR144","Klinik Kesihatan  Chaya Baru","Jalan Kongkong  Masai  81750 Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE067","PBE","JOHOR","JOHOR BAHRU","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708034","Products Installed",
"38","02 13","QMS 02/13/04/017263","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR144","Klinik Kesihatan  Chaya Baru","Jalan Kongkong  Masai  81750 Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE068","PBE","JOHOR","JOHOR BAHRU","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708033","Products Installed",
"39","02 13","QMS 02/13/04/017270","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR026","Klinik Kesihatan Masai","Jalan Pekeliling Masai  81750  Masai Johor  Bahru Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE022","PBE","JOHOR","JOHOR BAHRU","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708035","Products Installed",
"40","02 13","QMS 02/13/04/017292","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR045","Klinik Kesihatan Pengerang","Felda Lok Heng Kota Tinggi 81970","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE074","PBE","JOHOR","KOTA TINGGI","2017-08-27 9:00AM","2017-08-27 9:00AM","2017060708130","Products Installed",
"41","02 13","QMS 02/13/04/017335","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","MLK006","Klinik Kesihatan Kuala Sungai Baru","Pekan Kuala Sungai Baru 78200 Masjid Tanah","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","MLPCHE005","PBE","MELAKA","ALOR GAJAH","2017-08-25 9:00AM","2017-08-25 9:00AM","2017060708099","Products Installed",
"42","02 13","QMS 02/13/04/017347","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","MLK021","Klinik Kesihatan Bukit Rambai","Jalan Bukit Rambai 75250 Melaka","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","MLPCHE015","PBE","MELAKA","MELAKA TENGAH","2017-08-25 9:00AM","2017-08-25 9:00AM","2017060708102","Products Installed",
"43","02 13","QMS 02/13/04/017348","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","MLK019","Klinik Kesihatan Cheng","Jalan Cheng 75250 Melaka","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","MLPCHE013","PBE","MELAKA","MELAKA TENGAH","2017-08-25 9:00AM","2017-08-25 9:00AM","2017060708103","Products Installed",
