 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Actual T&C Date,Delivery Status,
"16","01 01","QMS 01/01/07/027693","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH072","Klinik Kesihatan Timbua","D A Pejabat Kesihatan Ranau   Peti Surat 32  89307Ranau Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP030","PBE","SABAH","RANAU","2018-04-11 10:00AM","2018-04-11 10:00AM","016894","26-04-2018","Products Installed",
"17","01 01","QMS 01/01/07/027694","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH074","Klinik Kesihatan Kaingaran","D A Pejabat Kesihatan Ranau  Peti Surat 159  89307Ranau Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP031","PBE","SABAH","RANAU","2018-04-11 10:00AM","2018-04-11 10:00AM","016884","26-04-2018","Products Installed",
"18","01 01","QMS 01/01/07/027695","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH075","Klinik Kesihatan Kiulu","D A PKK Tuaran W D T  10  Peti Surat 620  89207Tuaran Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP032","PBE","SABAH","TUARAN","2018-03-23 8:30AM","2018-03-23 8:30AM","018683","26-04-2018","Products Installed",
"19","01 01","QMS 01/01/07/027696","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH078","Klinik Kesihatan Ibu dan Anak Beaufort","Pejabat Kesihatan Kawasan Beaufoft  Peti Surat 101  89807  Beaufort","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP033","PBE","SABAH","BEAUFORT","2018-05-16 11:00AM","2018-05-16 11:00AM","016868","25-05-2018","Products Installed",
"20","01 01","QMS 01/01/07/027697","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH079","Klinik Kesihatan Ibu dan Anak Kuala Penyu","D A Pejabat Kesihatan Kawasan Beaufoft  Peti Surat No 5  89747  Beaufort","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP034","PBE","SABAH","KUALA PENYU","2018-05-15 11:00AM","2018-05-15 11:00AM","018658","24-05-2018","Products Installed",
"21","01 01","QMS 01/01/07/027698","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH080","Klinik Kesihatan Ibu dan Anak  Sipitang","D A Pejabat Kesihatan Kawasan Beaufoft  Peti Surat 101 89850  Beaufort","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP035","PBE","SABAH","SIPITANG","2018-05-16 11:00AM","2018-05-16 11:00AM","016870","22-06-2018","Products Installed",
"22","01 01","QMS 01/01/07/027699","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH081","Klinik Kesihatan Ibu dan Anak Beluran","D A Pejabat Kesihatan Kawasan Beluran  Bag Berkunci No 2 90109  Beluran","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP036","PBE","SABAH","BELURAN","2018-04-20 8:00AM","2018-04-20 8:00AM","018682","22-05-2018","Products Installed",
"23","01 01","QMS 01/01/07/027700","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH082","Klinik Kesihatan Ibu dan Anak Keningau","D A Pejabat Kesihatan Kawasan Keningau  Tkt  Bawah  Rumah Persekutuan  Peti Sura","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP037","PBE","SABAH","KENINGAU","2018-05-04 11:00AM","2018-05-04 11:00AM","018681","24-05-2018","Products Installed",
"24","01 01","QMS 01/01/07/027701","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH083","Klinik Kesihatan Ibu dan Anak Tambunan","Pejabat Kesihatan Tambunan  Peti Surat 10  89657  Tambunan","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP038","PBE","SABAH","TAMBUNAN","2018-05-04 11:00AM","2018-05-04 11:00AM","016871","05-06-2018","Products Installed",
"25","01 01","QMS 01/01/07/027702","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH025","Klinik Kesihatan Kemabong","D A Pejabat Kesihatan Tenom  Peti Surat 97 89907Tenom Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP039","PBE","SABAH","TENOM","2018-05-04 11:00AM","2018-05-04 11:00AM","016875","24-05-2018","Products Installed",
"26","01 01","QMS 01/01/07/027703","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH085","Klinik Kesihatan Ibu dan Anak Jalan Kebajikan","D A Pejabat Kesihatan Kawasan Kota Kinabalu  Lot 21 24 Tkt  2  Blok C  Heritage ","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP040","PBE","SABAH","KOTA KINABALU","2018-03-23 2:30PM","2018-03-23 2:30PM","018686","26-04-2018","Products Installed",
"27","01 01","QMS 01/01/07/027704","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH087","Klinik Kesihatan Ibu dan Anak Papar","Pejabat Kesihatan Papar  Peti Surat 109  89608  Papar","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP041","PBE","SABAH","PAPAR","2018-03-22 11:00AM","2018-03-22 11:00AM","018689","26-04-2018","Products Installed",
"28","01 01","QMS 01/01/07/027705","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH052","Klinik Kesihatan Bukit Garam","Pejabat Kesihatan Kinabatangan   Wdt 40  90500Sandakan Sabah Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP042","PBE","SABAH","KINABATANGAN","2018-04-23 8:00AM","2018-04-23 8:00AM","018684","22-05-2018","Products Installed",
"29","01 01","QMS 01/01/07/027706","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH092","Klinik Kesihatan Ibu dan Anak Sandakan","D A Pejabat Kesihatan Kawasan Sandakan  Tkt 6  BangunanPersekutuan  Beg Berkunci","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP043","PBE","SABAH","SANDAKAN","2018-04-24 8:00AM","2018-04-24 8:00AM","016858","22-05-2018","Products Installed",
"30","01 01","QMS 01/01/07/027707","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH097","Klinik Kesihatan Ibu dan Anak Kota Belud","D A Pejabat Kesihatan Kawasan Tuaran  Peti Surat 620 89158  Tuaran","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP044","PBE","SABAH","KOTA BELUD","2018-03-27 2:00PM","2018-03-27 2:00PM","018695","16-05-2018","Products Installed",
"31","01 01","QMS 01/01/07/027708","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH098","Klinik Kesihatan Ibu dan Anak Ranau","D A Pejabat Kesihatan Kawasan Tuaran  W D T  10   PetiSurat 620  89307  Tuaran","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP045","PBE","SABAH","RANAU","2018-04-10 10:00AM","2018-04-10 10:00AM","018673","26-04-2018","Products Installed",
"32","01 01","QMS 01/01/07/027709","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH099","Klinik Kesihatan Ibu dan Anak Tuaran","D A Pejabat Kesihatan Kawasan Tuaran  W D T  10   PetiSurat 620  89307  Tuaran","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP046","PBE","SABAH","TUARAN","2018-03-23 10:00AM","2018-03-23 10:00AM","018691","26-04-2018","Products Installed",
"33","01 01","QMS 01/01/07/027710","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH115","Klinik Kesihatan Lingkabau, Beluran","D A PKK Beluran  Peti Surat 86  90109  Beluran Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP047","PBE","SABAH","BELURAN","2018-04-18 8:00AM","2018-04-18 8:00AM","018703","22-05-2018","Products Installed",
"34","01 01","QMS 01/01/07/027711","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH132","Klinik Kesihatan Batu Puteh, Kinabatangan","D A PKK Kinabatangan  W D T 40  90200 Kinabatangan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP048","PBE","SABAH","KINABATANGAN","2018-04-23 8:00AM","2018-04-23 8:00AM","018682","22-05-2018","Products Installed",
"35","01 01","QMS 01/01/07/027712","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH050","Klinik Kesihatan Penampang","D A PKK Penampang  Lot 13 A 2  Pusat DaganganDonggongon  Pekan Donggongon 89500 ","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP049","PBE","SABAH","PENAMPANG","2018-03-22 2:00PM","2018-03-22 2:00PM","016855","26-04-2018","Products Installed",
"36","01 01","QMS 01/01/07/027713","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH560","Klinik 1 Malaysia Taman Pengalat Besar, Papar","Lot No   2 Phase 6 Taman Pengalat Besar Papar","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP050","PBE","SABAH","PAPAR","2018-03-22 9:00AM","2018-03-22 9:00AM","016859","24-05-2018","Products Installed",
"37","01 01","QMS 01/01/07/027714","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH054","Klinik Kesihatan Sandakan","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP020","PBE","SABAH","SANDAKAN","2018-04-24 8:00AM","2018-04-24 8:00AM","016867","22-05-2018","Products Installed",
"38","01 01","QMS 01/01/07/027715","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH060","Klinik Kesihatan Tongod","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP027","PBE","SABAH","TONGOD","2018-04-25 9:00AM","2018-04-25 9:00AM","018688","23-05-2018","Products Installed",
"39","01 05","QMS 01/05/07/027761","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK036","Klinik Kesihatan Belaga","Klinik Kesihatan Belaga  96800  Belaga","KK","Batch 7","East Malaysia","PO108520","2017-02-01","SWPANB082","PBE","SARAWAK","KAPIT","2018-04-24 9:00AM","2018-04-24 9:00AM","3008-14-2290","07-05-2018","Products Installed",
"40","01 05","QMS 01/05/07/027762","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK037","Klinik Kesihatan Lusong Laku","Klinik Kesihatan Lusong Laku  96800  Belaga","KK","Batch 7","East Malaysia","PO108520","2017-02-01","SWPANB083","PBE","SARAWAK","KAPIT","2018-04-24 9:00AM","2018-04-24 9:00AM","3008-14-2288","11-05-2018","Products Installed",
"41","01 05","QMS 01/05/07/027767","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK039","Klinik Kesihatan Sungai Asap","Klinik Kesihatan Sungai Asap  96800  Belaga","KK","Batch 7","East Malaysia","PO108520","2017-02-01","SWPANB174","PBE","SARAWAK","KAPIT","2018-04-24 8:00AM","2018-04-24 8:00AM","3008-14-2286","07-05-2018","Products Installed",
"42","01 05","QMS 01/05/07/027768","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK040","Klinik Kesihatan Sungai Koyan","Klinik Kesihatan Sungai Koyan  96800  Belaga","KK","Batch 7","East Malaysia","PO108520","2017-02-01","SWPANB176","PBE","SARAWAK","KAPIT","2018-04-24 8:00AM","2018-04-24 8:00AM","3008-14-2284","07-05-2018","Products Installed",
"43","01 05","QMS 01/05/07/027848","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK036","Klinik Kesihatan Belaga","Klinik Kesihatan Belaga  96800  Belaga","KK","Batch 7","East Malaysia","PO108520","2017-02-01","SWPANB172","PBE","SARAWAK","KAPIT","2018-04-24 9:00AM","2018-04-24 9:00AM","3008-14-2281","07-05-2018","Products Installed",
"44","01 05","QMS 01/05/07/027849","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK037","Klinik Kesihatan Lusong Laku","Klinik Kesihatan Lusong Laku  96800  Belaga","KK","Batch 7","East Malaysia","PO108520","2017-02-01","SWPANB173","PBE","SARAWAK","KAPIT","2018-04-24 9:00AM","2018-04-24 9:00AM","3008-14-2289","11-05-2018","Products Installed",
