benumber,becategory,cliniccode,clinictype,District,Statecode,currentstatus,Newstatus,Reasonforchange
SLR001117,Nebulizers| Nonheated,SLR054,,Sepang,,ACT,DEA,No Maintenance
SLR020092,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( High),SLR054,,Sepang,,ACT,DEA,Rental (letter)
SLR020165,Analyzers| Laboratory| Clinical Chemistry| Automated (High),SLR054,,Sepang,,ACT,DEA,Rental (letter)
SLR020169,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( High),SLR054,,Sepang,,ACT,DEA,Rental (letter)
SLR004657,Chairs| Examination/Treatment| Dentistry,SLR218,,Klang,,ACT,DEA,Letter attached
SLR004659,Chairs| Examination/Treatment| Dentistry,SLR218,,Klang,,ACT,DEA,Letter attached
SLR004701,Chairs| Examination/Treatment| Dentistry,SLR218,,Klang,,ACT,DEA,Letter attached
SLR004710,Chairs| Examination/Treatment| Dentistry,SLR218,,Klang,,ACT,DEA,Letter attached
SLR004838,Sterilizing Units| Portable,SLR218,,Klang,,ACT,DEA,Letter attached
SLR012332,Sterilizing Units| Steam,SLR218,,Klang,,ACT,DEA,Letter attached
SLR006743,Chairs| Examination/Treatment| Dentistry,SLR221,,Klang,,ACT,DEA,Letter attached
SLR004760,Trimmers| Model| Dental,SLR221,,Klang,,ACT,DEA,Letter attached
SLR004893,Micromotor,SLR222,,Klang,,ACT,DEA,Letter attached
SLR004811,Sterilizing Units| Portable,SLR230,,Klang,,ACT,DEA,Letter attached
SLR007236,Analyzers| Laboratory| Blood| Hemoglobin,SLR030,,Kuala Langat,,ACT,DEA,Letter attached
SLR001653,Analyzers| Laboratory| Blood| Hemoglobin,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR007306,Analyzers| Laboratory| Blood| Hemoglobin,SLR037,,Kuala Langat,,ACT,DEA,Letter attached
SLR007091,Analyzers| Laboratory| Blood| Hemoglobin,SLR107,,Kuala Langat,,ACT,DEA,Letter attached
SLR007059,Analyzers| Laboratory| Blood| Hemoglobin,SLR109,,Kuala Langat,,ACT,DEA,Letter attached
SLR007025,Analyzers| Laboratory| Blood| Hemoglobin,SLR110,,Kuala Langat,,ACT,DEA,Letter attached
SLR007418,Analyzers| Laboratory| Blood| Hemoglobin,SLR111,,Kuala Langat,,ACT,DEA,Letter attached
SLR007127,Analyzers| Laboratory| Blood| Hemoglobin,SLR112,,Kuala Langat,,ACT,DEA,Letter attached
SLR007402,Analyzers| Laboratory| Blood| Hemoglobin,SLR113,,Kuala Langat,,ACT,DEA,Letter attached
SLR001894,Analyzers| Laboratory| Blood| Hemoglobin,SLR115,,Kuala Langat,,ACT,DEA,Letter attached
SLR001864,Analyzers| Laboratory| Blood| Hemoglobin,SLR117,,Kuala Langat,,ACT,DEA,Letter attached
SLR006854,Analyzers| Laboratory| Blood| Hemoglobin,SLR118,,Kuala Langat,,ACT,DEA,Letter attached
SLR001899,Analyzers| Laboratory| Blood| Hemoglobin,SLR119,,Kuala Langat,,ACT,DEA,Letter attached
SLR007078,Analyzers| Laboratory| Blood| Hemoglobin,SLR120,,Kuala Langat,,ACT,DEA,Letter attached
SLR007037,Analyzers| Laboratory| Blood| Hemoglobin,SLR121,,Kuala Langat,,ACT,DEA,Letter attached
SLR001587,Analyzers| Laboratory| Blood| Hemoglobin,SLR122,,Kuala Langat,,ACT,DEA,Letter attached
SLR007008,Analyzers| Laboratory| Blood| Hemoglobin,SLR123,,Kuala Langat,,ACT,DEA,Letter attached
SLR001874,Analyzers| Laboratory| Blood| Hemoglobin,SLR124,,Kuala Langat,,ACT,DEA,Letter attached
SLR007046,Analyzers| Laboratory| Blood| Hemoglobin,SLR125,,Kuala Langat,,ACT,DEA,Letter attached
SLR001562,Analyzers| Laboratory| Blood| Hemoglobin,SLR126,,Kuala Langat,,ACT,DEA,Letter attached
SLR001563,Analyzers| Laboratory| Blood| Hemoglobin,SLR126,,Kuala Langat,,ACT,DEA,Letter attached
SLR001483,Analyzers| Laboratory| Glycated Hemoglobin,SLR032,,Kuala Langat,,ACT,DEA,Letter attached
SLR001633,Scales| Infant,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR001657,Unit-Dose Dispensers| Pill,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR007009,Fetal Heart Detectors| Ultrasonic,SLR123,,Kuala Langat,,ACT,DEA,Letter attached
SLR007226,Fetal Heart Detectors| Ultrasonic,SLR030,,Kuala Langat,,ACT,DEA,Letter attached
SLR000957,Otoscopes,SLR034,,Kuala Langat,,ACT,DEA,Letter attached
SLR000940,Pipetters,SLR034,,Kuala Langat,,ACT,DEA,Letter attached
SLR000939,Pipetters,SLR034,,Kuala Langat,,ACT,DEA,Letter attached
SLR012435,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR012437,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR012463,Scales| Infant,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR006974,Scanning Systems| Ultrasonic|General Purpose,SLR033,,Kuala Langat,,ACT,DEA,Letter attached
SLR020178,Sphygmomanometers| Aneroid,SLR114,,Kuala Langat,,ACT,DEA,Letter attached
SLR001592,Sphygmomanometers| Mercury,SLR118,,Kuala Langat,,ACT,DEA,Letter attached
SLR000981,Sphygmomanometers| Mercury,SLR034,,Kuala Langat,,ACT,DEA,Letter attached
SLR000953,Sphygmomanometers| Mercury,SLR034,,Kuala Langat,,ACT,DEA,Letter attached
SLR012432,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR001690,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR007141,Scales|Patient|Platform|Mechanical,SLR116,,Kuala Langat,,ACT,DEA,Letter attached
SLR001639,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR001597,Sphygmomanometers| Aneroid,SLR118,,Kuala Langat,,ACT,DEA,Letter attached
SLR012439,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR001634,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR001638,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR012433,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR012425,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR012427,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR012436,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,Letter attached
SLR001452,Sphygmomanometers| Mercury,SLR032,,Kuala Langat,,ACT,DEA,Letter attached
SLR001454,Sphygmomanometers| Mercury,SLR032,,Kuala Langat,,ACT,DEA,Letter attached
SLR001460,Sphygmomanometers| Mercury,SLR032,,Kuala Langat,,ACT,DEA,Letter attached
SLR010208,Analyzers| Laboratory| Blood| Hemoglobin,SLR078,,Hulu Selangor,,ACT,BER,BER
SLR003134,Baths| Water| Laboratory,SLR021,,Hulu Selangor,,ACT,BER,BER
SLR003131,Ovens| Drying,SLR021,,Hulu Selangor,,ACT,BER,BER
SLR001384,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR001385,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR003321,Sphygmomanometers| Mercury,SLR076,,Hulu Selangor,,ACT,BER,BER
SLR006699,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR006700,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR010204,Sphygmomanometers| Mercury,SLR078,,Hulu Selangor,,ACT,BER,BER
SLR010902,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR010903,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR010904,Sphygmomanometers| Mercury,SLR189,,Hulu Selangor,,ACT,BER,BER
SLR003128,Analyzers| Laboratory| Glycated Hemoglobin,SLR021,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR010912,Fetal Heart Detectors| Ultrasonic,SLR189,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR011927,Scales|Patient|Platform|Electronic,SLR017,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR005471,Scales|Patient|Platform|Mechanical,SLR078,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR003072,Scales|Patient|Platform|Mechanical,SLR019,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR010855,Scales|Patient|Platform|Mechanical,SLR021,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR001380,Sphygmomanometers| Aneroid,SLR189,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR012176,Sphygmomanometers| Aneroid,SLR189,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
SLR000149,Sphygmomanometers| Aneroid,SLR017,,Hulu Selangor,,ACT,DEA,SA Not Available-LTR ATTACHED
MLK000398,Oximeters| Pulse,MLK008,,Alor Gajah,,ACT,BER,BER
MLK000474,Radiographic/Fluoroscopic Systems| General-Purpose,MLK008,,Alor Gajah,,ACT,BER,BER
MLK000478,Scales| Infant,MLK008,,Alor Gajah,,ACT,BER,BER
NSB007489,Sterilizing Units| Steam| Tabletop,NSB020,,Port Dickson,,ACT,BER,BER
NSB007482,Sterilizing Units| Steam| Tabletop,NSB020,,Port Dickson,,ACT,BER,BER
NSB007488,Sterilizing Units| Steam| Tabletop,NSB020,,Port Dickson,,ACT,BER,BER
NSB007485,Radiographic/Fluoroscopic Systems| General-Purpose,NSB020,,Port Dickson,,ACT,BER,BER
NSB005979,Radiographic Units| Dental,NSB282,,Port Dickson,,ACT,BER,BER
NSB003570,Distilling Unit,NSB009,,Jempol,,ACT,BER,BER
NSB023133,Package Sealers,NSB152,,Seremban,,ACT,BER,BER
NSB020423,Micromotor,NSB207,,Tampin,,ACT,BER,BER
NSB002655,Radiographic Units| Dental,NSB241,,Jelebu,,ACT,BER,BER
NSB003073,Freezers| Laboratory Vaccine,NSB010,,Jempol,,ACT,BER,BER
NSB003075,Freezers| Laboratory Vaccine,NSB010,,Jempol,,ACT,BER,BER
NSB003148,Bilirubinometers Lab,NSB010,,Jempol,,ACT,BER,BER
NSB009234,Sphygmomanometers| Mercury,NSB009,,Jempol,,ACT,BER,BER
NSB003586,Scales|Patient|Platform|Electronic,NSB009,,Jempol,,ACT,BER,BER
NSB001479,Cameras| Identification,NSB004,,Jelebu,,ACT,BER,BER
NSB002552,Sphygmomanometers| Aneroid,NSB048,,Jelebu,,ACT,BER,BER
NSB009151,Sphygmomanometers| Mercury,NSB052,,Jelebu,,ACT,BER,BER
NSB003475,Centrifuges| Tabletop| High-Speed| Microhematocrit,NSB028,,Seremban,,ACT,BER,BER
NSB009595,Otoscopes,NSB287,,Seremban,,ACT,BER,BER
NSB006785,Scales|Patient|Platform|Mechanical,NSB121,,Seremban,,ACT,BER,BER
NSB004400,Ergometers| Bicycle,NSB034,,Seremban,,ACT,BER,BER
NSB005756,Analyzers| Laboratory| Body Fluids| Electrolyte| Coulometric,NSB032,,Seremban,,ACT,BER,BER
NSB005759,Centrifuges| Tabletop,NSB032,,Seremban,,ACT,BER,BER
NSB005674,Centrifuges| Tabletop| High-Speed| Microhematocrit,NSB028,,Seremban,,ACT,BER,BER
NSB004054,Water Boiler,NSB149,,Seremban,,ACT,BER,BER
NSB008308,Chairs| Examination/Treatment| Dentistry,NSB250,,Jempol,,ACT,BER,BER
NSB003944,Scalers| Dental| Ultrasonic,NSB251,,Jempol,,ACT,BER,BER
NSB001768,Chairs| Examination/Treatment| Dentistry,NSB193,,Jempol,,ACT,BER,BER
NSB002398,Freezers| Laboratory Vaccine,NSB008,,Jempol,,ACT,BER,BER
NSB000816,Sterilizing Units| Steam| Tabletop,NSB037,,Tampin,,ACT,BER,BER
NSB000048,Lights| Dental,NSB211,,Tampin,,ACT,BER,BER
NSB000805,Light Sources,NSB037,,Tampin,,ACT,BER,BER
NSB024142,Scales|Patient|Platform|Mechanical,NSB037,,Tampin,,ACT,BER,BER
NSB020213,Sphygmomanometers| Aneroid,NSB145,,Tampin,,ACT,BER,BER
NSB020276,Sphygmomanometers| Aneroid,NSB145,,Tampin,,ACT,BER,BER
NSB005903,Water Purification Systems,NSB234,,Rembau,,ACT,BER,BER
NSB005911,Flurometer,NSB234,,Rembau,,ACT,BER,BER
NSB007681,Aspirators| Dental,NSB238,,Rembau,,ACT,BER,BER
NSB007461,Scales|Patient|Platform|Electronic,NSB020,,Port Dickson,,ACT,BER,BER
NSB001350,X-Ray Film Processors| Automatic,NSB040,,Tampin,,ACT,BER,BER
NSB000992,Light| Examination,NSB002,,Jelebu,,ACT,BER,BER
NSB003515,Amalgamators,NSB242,,Jelebu,,ACT,BER,BER
NSB000412,Sphygmomanometers| Mercury,NSB141,,Tampin,,ACT,BER,BER
NSB000415,Fetal Heart Detectors| Ultrasonic,NSB141,,Tampin,,ACT,BER,BER
NSB001261,Scales|Patient|Platform|Electronic,NSB040,,Tampin,,ACT,BER,BER
JHR008189,Analyzers| Laboratory| Blood| Hemoglobin,JHR043,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR014657,Analyzers| Laboratory| Blood| Hemoglobin,JHR043,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR005666,Analyzers| Laboratory| Blood| Hemoglobin,JHR210,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR011212,Analyzers| Laboratory| Blood| Hemoglobin,JHR039,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009002,Analyzers| Laboratory| Blood| Hemoglobin,JHR203,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009346,Analyzers| Laboratory| Blood| Hemoglobin,JHR197,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR008949,Analyzers| Laboratory| Blood| Hemoglobin,JHR044,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009413,Analyzers| Laboratory| Blood| Hemoglobin,JHR193,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR024508,Analyzers| Laboratory| Blood| Hemoglobin,JHR212,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009405,Analyzers| Laboratory| Blood| Hemoglobin,JHR204,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR010745,Microscopes| Light| Laboratory,JHR046,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009181,Analyzers| Laboratory| Blood| Hemoglobin,JHR208,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009005,Analyzers| Laboratory| Blood| Hemoglobin,JHR217,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR008045,Analyzers| Laboratory| Blood| Hemoglobin,JHR037,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR009179,Analyzers| Laboratory| Blood| Hemoglobin,JHR194,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR008073,Analyzers| Laboratory| Blood| Hemoglobin,JHR206,,Kota Tinggi,,ACT,DEA,Not service by QMS-Agreed by SM during VCM (Letter from PKD Attached)
JHR014705,Refrigerators| Laboratory,JHR091,,Kota Tinggi,,ACT,DEA,Domestic fridge
JHR024102,Sphygmomanometers| Electronic| Manual,JHR038,,Kota Tinggi,,ACT,BER,BER
JHR024121,Sphygmomanometers| Mercury,JHR038,,Kota Tinggi,,ACT,BER,BER
JHR014626,Sphygmomanometers| Mercury,JHR038,,Kota Tinggi,,ACT,BER,BER
JHR008384,Sphygmomanometers| Mercury,JHR075,,Pontian,,ACT,BER,BER
JHR005570,Scales|Patient|Platform|Mechanical,JHR294,,Pontian,,ACT,BER,BER
JHR005022,Microscopes| Light| Laboratory,JHR049,,Mersing,,ACT,BER,BER
JHR024617,Freezers| Laboratory,JHR049,,Mersing,,ACT,BER,BER
JHR015053,Sterilizing Units| Steam| Tabletop,JHR052,,Mersing,,ACT,BER,BER
JHR024619,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( Medium),JHR049,,Mersing,,ACT,BER,BER
JHR020632,Scales|Patient|Platform|Electronic,JHR224,,Mersing,,ACT,BER,BER
JHR015080,Water Purification Systems,JHR052,,Mersing,,ACT,BER,BER
JHR024714,Otoscopes,JHR219,,Mersing,,ACT,DEA,Asset not in location-Agreed by JKN to be strike out from bill during audit at PKD
JHR014941,Ophthalmoscopes,JHR052,,Mersing,,ACT,DEA,Asset not in location-Agreed by JKN to be strike out from bill during audit at PKD
JHR015084,Scales| Infant,JHR226,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR005152,Scales| Infant,JHR226,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR005286,Scales| Infant,JHR221,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR005277,Scales,JHR221,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR020225,Scales| Infant,JHR050,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR005498,Scales,JHR050,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR005262,Scales| Infant,JHR222,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR004994,Scales| Infant,JHR049,,Mersing,,ACT,DEA,Wrong category-B15 Attached|Agreed by JKN to be strike out from bill during audit at PKD
JHR009635,Testers| Pulp,JHR500,,Pontian,,ACT,BER,BER
JHR009642,Scalers| Dental| Ultrasonic,JHR500,,Pontian,,ACT,BER,BER
JHR005585,Lights| Dental,JHR504,,Pontian,,ACT,BER,BER
JHR009659,Sterilizing Units| Portable,JHR500,,Pontian,,ACT,BER,BER
JHR005584,Lights| Dental,JHR504,,Pontian,,ACT,BER,BER
JHR021042,Vibrators,JHR508,,Pontian,,ACT,BER,BER
JHR009304,Water Boiler,JHR503,,Pontian,,ACT,BER,BER
JHR009572,Bunsen Burner Electric,JHR508,,Pontian,,ACT,BER,BER
JHR009566,Trimmers| Model| Dental,JHR508,,Pontian,,ACT,BER,BER
JHR021245,Scalers| Dental| Ultrasonic,JHR502,,Pontian,,ACT,BER,BER
JHR005802,Trimmers| Model| Dental,JHR501,,Pontian,,ACT,BER,BER
JHR009564,Mixers,JHR508,,Pontian,,ACT,BER,BER
JHR005801,Acrylic Curing Units| Dental,JHR501,,Pontian,,ACT,BER,BER
JHR015501,Dental Restoration Polishers | Burnishers,JHR501,,Pontian,,ACT,BER,BER
JHR009550,Mixers,JHR508,,Pontian,,ACT,BER,BER
JHR014224,Scales| Infant,JHR004,,BATU PAHAT,,ACT,BER,BER
JHR000127,Sphygmomanometers| Mercury,JHR013,,BATU PAHAT,,ACT,BER,BER
JHR002464,Sphygmomanometers| Mercury,JHR058,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002465,Sphygmomanometers| Mercury,JHR058,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002468,Sphygmomanometers| Mercury,JHR058,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002500,Sphygmomanometers| Mercury,JHR058,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002497,Sphygmomanometers| Aneroid,JHR058,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002824,Sphygmomanometers| Aneroid,JHR340,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002850,Sphygmomanometers| Mercury,JHR341,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002853,Sphygmomanometers| Aneroid,JHR341,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002832,Sphygmomanometers| Aneroid,JHR342,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002976,Sphygmomanometers| Aneroid,JHR057,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR003673,Sphygmomanometers| Mercury,JHR057,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002968,Sphygmomanometers| Mercury,JHR057,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR014890,Sphygmomanometers| Aneroid,JHR345,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR014891,Sphygmomanometers| Aneroid,JHR345,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002888,Sphygmomanometers| Mercury,JHR345,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002901,Sphygmomanometers| Mercury,JHR343,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR013904,Sphygmomanometers| Mercury,JHR344,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR013916,Sphygmomanometers| Mercury,JHR346,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR014892,Sphygmomanometers| Aneroid,JHR346,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR013924,Sphygmomanometers| Aneroid,JHR346,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR000202,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR000204,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002703,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002704,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002706,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002707,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002717,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR002720,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
JHR000205,Sphygmomanometers| Mercury,JHR054,,LEDANG,,ACT,DEA,STOP SERVICE BECAUSE OF SAFETY REASON-letter attached
