 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Delivery Status,
"11","04 02","QMS 04/02/03/07437","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK101","Klinik Kesihatan Long Pillah","D A Pejabat Kesihatan Bahagian Miri   Jalan TemenggongOyong Lawai Jau  98000 Mir","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT024","NBE","SARAWAK","MIRI","2017-05-22 8:00AM","2017-05-31 8:00AM","KB2QHF2573","Products Installed",
"12","04 02","QMS 04/02/03/07438","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK102","Klinik Kesihatan Long San","D A Pejabat Kesihatan Bahagian Miri   Jalan TemenggongOyong Lawai Jau  98000 Mir","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT025","NBE","SARAWAK","MIRI","2017-05-22 11:00AM","2017-05-31 11:00AM","KB2QHF2575","Products Installed",
"13","04 02","QMS 04/02/03/07439","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK103","Klinik Kesihatan Long Teran","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital Marudi 98050 Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT026","NBE","SARAWAK","MIRI","2017-05-18 2:00PM","2017-05-31 2:00PM","KB2QHF2553","Products Installed",
"14","04 02","QMS 04/02/03/07440","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK104","Klinik Kesihatan Long Teru","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital  Marudi 98050  Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT027","NBE","SARAWAK","MIRI","2017-05-18 8:00AM","2017-05-31 8:00AM","KB2QHF2552","Products Installed",
"15","04 02","QMS 04/02/03/07441","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK106","Klinik Kesihatan Ulu Teru","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital  Marudi 98050 Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT028","NBE","SARAWAK","MIRI","2017-05-03 11:00AM","2017-05-31 11:00AM","KB2QHF2519","Products Installed",
"16","04 02","QMS 04/02/03/07442","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK108","Klinik Kesihatan Long Panai","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital  Marudi 98050  Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT029","NBE","SARAWAK","MIRI","2017-05-22 2:00PM","2017-05-31 2:00PM","KB2QHF2576","Products Installed",
"17","04 02","QMS 04/02/03/07443","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK110","Klinik Kesihatan Long Moh","D A Pejabat Kesihatan Bahagian Miri   Jalan TemenggongOyong Lawai Jau  98000 Mir","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT030","NBE","SARAWAK","MIRI","2017-05-23 8:00AM","2017-05-31 8:00AM","KB2QHF2577","Products Installed",
"18","07 04","QMS 07/04/03/07506","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR004","Klinik Kesihatan Rawang","Jalan Bukit Kelab Rawang 48000 Gombak  Selangor","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH013","NBE","SELANGOR","GOMBAK","2017-05-31 11:30AM","2017-05-31 11:30AM","2017042608BQ","Products Installed",
"19","07 04","QMS 07/04/03/07508","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR005","Klinik Kesihatan Selayang Baru","Jalan Sgtua  Selayang Baru 68100 Gombak  Selangor","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH037","NBE","SELANGOR","GOMBAK","2017-05-31 2:30PM","2017-05-31 2:30PM","2017042609BQ","Products Installed",
"20","07 04","QMS 07/04/03/07509","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR006","Klinik Kesihatan Sungai Buloh","Jalan Kg Melayu Sg Buloh 47000 Gombak","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH041","NBE","SELANGOR","GOMBAK","2017-05-31 2:30PM","2017-05-31 2:30PM","2017042610BQ","Products Installed",
"21","07 04","QMS 07/04/03/07512","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR010","Klinik Kesihatan Kajang","Kg Baru Cina  43500 Semenyih  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH046","NBE","SELANGOR","HULU LANGAT","2017-05-31 11:30AM","2017-05-31 11:30AM","2017042611BQ","Products Installed",
"22","07 04","QMS 07/04/03/07513","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR014","Klinik Kesihatan Ampang","Jalan Mewah 3  Taman Ampang Mewah  Pekan Ampang  68000 Ampang  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH050","NBE","SELANGOR","HULU LANGAT","2017-05-31 11:30AM","2017-05-31 11:30AM","2017042612BQ","Products Installed",
"23","07 04","QMS 07/04/03/07514","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR021","Klinik Kesihatan Serendah","D A Klinik Kesihatan Serendah  48200 Serendah  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH016","NBE","SELANGOR","HULU SELANGOR","2017-05-31 9:00AM","2017-05-31 9:00AM","2017042613BQ","Products Installed",
"24","07 04","QMS 07/04/03/07517","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR022","Klinik Kesihatan Pelabuhan Klang","Pt 6 62  Jalan Limbongan Pelabuahn Klang  42000 Klang  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH018","NBE","SELANGOR","KLANG","2017-05-31 9:00AM","2017-05-31 9:00AM","2017042614BQ","Products Installed",
"25","07 04","QMS 07/04/03/07518","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR023","Klinik Kesihatan Kapar","Jalan Klinik  42200 Kapar  Klang  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH020","NBE","SELANGOR","KLANG","2017-05-31 11:30AM","2017-05-31 11:30AM","2017042616BQ","Products Installed",
"26","07 04","QMS 07/04/03/07519","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR028","Klinik Kesihatan Meru","Pt 55 61 Jalan Kenanga  Meru  41050 Klang  Selangor","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH022","NBE","SELANGOR","KLANG","2017-05-31 9:00AM","2017-05-31 9:00AM","2017042616BQ","Products Installed",
"27","07 04","QMS 07/04/03/07520","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR029","Klinik Kesihatan Bukit Kuda","Jalan Batu Tiga Lama  41300 Klang  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH024","NBE","SELANGOR","KLANG","2017-05-31 11:30AM","2017-05-31 11:30AM","2017042617BQ","Products Installed",
"28","07 04","QMS 07/04/03/07522","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR043","Klinik Kesihatan Seri Kembangan","Jln Besar Seri Kembangan  43300 Seri Kembangan  Selangor","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH054","NBE","SELANGOR","PETALING","2017-05-31 9:00AM","2017-05-31 9:00AM","2017042618BQ","Products Installed",
"29","07 04","QMS 07/04/03/07523","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR046","Klinik Kesihatan Shah Alam","No  2  Persiaran Kayangan  Seksyen 7  40000 Shah Alam  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH057","NBE","SELANGOR","PETALING","2017-05-31 2:30PM","2017-05-31 2:30PM","2017042619BQ","Products Installed",
"30","07 04","QMS 07/04/03/07524","SUP032","Translab M Sdn Bhd","azman@translab.com.my","18, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya","AZMAN BIN OTHMAN","Rerigerators, Laboratory (High)","Daihan Labtech Co Ltd","LCV-203GR","Rerigerators, Laboratory (High)","SLR047","Klinik Kesihatan Puchong","Batu 14  Puchong  47100 Petaling  Selangor ","KK","Batch 3","CENTRAL","PO106898","2016-09-01","SLNREH061","NBE","SELANGOR","PETALING","2017-05-31 2:30PM","2017-05-31 2:30PM","2017042620bq","Products Installed",
