BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
JHR001955,Fetal Heart Detectors| Ultrasonic,JHR092,Kesihatan,BATU PAHAT,JOHOR,ACT,BER,BER
JHR001481,Scales| Infant,JHR101,Kesihatan,BATU PAHAT,JOHOR,ACT,DEA,DEA
JHR003214,Ergometers| Bicycle,JHR058,Kesihatan,Ledang,JOHOR,PBR,BER,BER
JHR024435,Sphygmomanometers| Mercury,JHR040,Kesihatan,Kota Tinggi,JOHOR,ACT,BER,BER
JHR008174,Nebulizers| Nonheated,JHR045,Kesihatan,Kota Tinggi,JOHOR,ACT,BER,BER
JHR003338,Aspirators,JHR055,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR002354,Ergometers| Bicycle,JHR056,Kesihatan,Ledang,JOHOR,PBR,BER,BER
JHR002355,Ergometers| Bicycle,JHR056,Kesihatan,Ledang,JOHOR,PBR,BER,BER
JHR002356,Ergometers| Bicycle,JHR056,Kesihatan,Ledang,JOHOR,PBR,BER,BER
JHR002357,Treadmills,JHR056,Kesihatan,Ledang,JOHOR,PBR,BER,BER
JHR002358,Treadmills,JHR056,Kesihatan,Ledang,JOHOR,PBR,BER,BER
JHR002881,Fetal Heart Detectors| Ultrasonic,JHR337,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR003222,Ophthalmoscopes,JHR058,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR000372,Defibrillators| External| Manual,JHR055,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR003212,Ergometers| Bicycle,JHR058,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR003213,Ergometers| Bicycle,JHR058,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR003215,Exercisers,JHR058,Kesihatan,Ledang,JOHOR,ACT,BER,BER
JHR003216,Exercisers,JHR058,Kesihatan,Ledang,JOHOR,ACT,BER,BER
